sep=,,,
_ITEM_MINE128_NAME,Мина версии 128,Mine v. 128,
_ITEM_STONE_WHEEL_DESCRIPTION,"Каменное колесо. Первобытные люди умерли бы от зависти, увидев его.",Rimitive people would have eaten their hearts if had seen this.,
_ITEM_BLACKSPIDERWEB_NAME,Черная паутина.,Black web,
_ITEM_BLACKSPIDERWEB_DESCRIPTION,Липкая паутина черного цвета.,Sticky black web.,
_ITEM_RUBBER_NAME,Каучук,Rubber,
_ITEM_RUBBER_DESCRIPTION,Жидкий каучук. В новом голеафе будет скреплять дерево и динамит.,Rubber is an excellent insulator for wires.,
_ITEM_COIL_WIRE_NAME,Катушка,Spool,
_ITEM_COIL_WIRE_DESCRIPTION,Аккуратно смотанная проволока.,A nicely curved wire.,
_ITEM_COPPER_WIRE_NAME,Медный провод.,Copper wire,
_ITEM_COPPER_WIRE_DESCRIPTION,"Отличный медный провод, подойдет для кучи вещей.",An excellent copper wire can be applied in many ways.,
_ITEM_SPRING_NAME,Пружина,Spring,
_ITEM_SPRING_DESCRIPTION,"Сжимается и разжимается, очень занятная штука.","Shrinks and expands, a very entertaining item.",
_ITEM_SCREW_NAME,Шуруп,Screw,
_ITEM_SCREW_DESCRIPTION,Гвоздь который можно вкручивать отверткой.,Needs to be twisted in.,
_ITEM_STONE_DUST_NAME,Каменная пыль,Stone dust,
_ITEM_STONE_DUST_DESCRIPTION,Каменная пыль - побочный продукт переработки камня.,Byproduct of the stone processing.,
_ITEM_GENERATOR_NAME,Энергоблок.,Power unit,
_ITEM_GENERATOR_DESCRIPTION,Энергоблок. Неиссякаемый источник энергии!,An inexhaustible source of energy!,
_ITEM_MAUL_NAME,Кувалда,Sledgehammer,
_ITEM_MAUL_DESCRIPTION,Тяжелый молот для тяжелой работы.,A heavy hammer for hard work.,
_ITEM_SUPER_GLUE_NAME,Суперклей,Superglue,
_ITEM_SUPER_GLUE_DESCRIPTION,"Улучшенная версия клея, теперь я мог склеить все что угодно!",An upgraded glue. Now I can glue everything!,
_ITEM_STONE_GEAR_NAME,Каменная шестерня,Stone gear,
_ITEM_STONE_GEAR_DESCRIPTION,Тяжелая шестерня для средневековых механизмов.,Heavy gear for harsh mechanisms.,
_ITEM_WIRE_NAME,Провод,Wire,
_ITEM_WIRE_DESCRIPTION,Провод. Теперь я смогу провести электричество!,Now I can conduct electricity!,
_ITEM_PINCH_BAR_NAME,Лом,Scrap metal,
_ITEM_PINCH_BAR_DESCRIPTION,Лом. Куча разного железа.,A pile of various metal objects.,
_ITEM_FIRESTONE_NAME,Огненный камень,Fire stone,
_ITEM_FIRESTONE_DESCRIPTION,"Огненный камень. Горячий и опасный, совсем как я.",Strange stone... A hot one!,
_ITEM_CRYSTAL_NAME,Кристалл,Crystal,
_ITEM_CRYSTAL_DESCRIPTION,"Прекрасно подойдет для обручального кольца, лазера смерти и прочих полезных вещей.",Crystal,
_ITEM_MICROCHIP_NAME,Микросхема,Microchip,
_ITEM_MICROCHIP_DESCRIPTION,Микросхема. Первый шаг к изобретению компьютера и интернета!,The first step towards inventing a computer and Internet!,
_ITEM_POWER_ADAMANT_NAME,Энергетический алмаз,Power adamant,
_ITEM_POWER_ADAMANT_DESCRIPTION,Энергетический алмаз.,Power adamant. Like a small battery.,
_ITEM_CHITIN_NAME,Хитин,Chitin,
_ITEM_CHITIN_DESCRIPTION,Хитин. Природая броня насекомых.,Natural armor of insects.,
_ITEM_DUNG_NAME,Птичий помет,Dung,
_ITEM_DUNG_DESCRIPTION,"Птичий помет. Пахнет отвратительно, но все равно буду хранить.",Birds dung.,
_ITEM_FUEL_NAME,Топливо,Fuel,
_ITEM_FUEL_DESCRIPTION,"Топливо, прекрасное горючее.",Fuel. Burns well.,
_ITEM_AXE_NAME,Топор,Axe,
_ITEM_AXE_DESCRIPTION,Топор складной.,Axe,
_ITEM_TROSS_NAME,Трос,Rope,
_ITEM_TROSS_DESCRIPTION,Трос. Им можно связать даже разъяренного рогача! Но проверять я не буду.,"One can tie even a furious horned creature with it (actually, not)",
_ITEM_PICK_NAME,Кирка,Pick hammer,
_ITEM_PICK_DESCRIPTION,Позволяет разбивать камни,Allows to crash stones,
_ITEM_TOXICMUSHROOM_NAME,Токсичный гриб,Toxic mushroom,
_ITEM_TOXICMUSHROOM_DESCRIPTION,Не стоит употреблять этот гриб в пищу,You should not use this mushroom to eat,
_ITEM_TREASUREMAP_NAME,Карта сокровищ,Treasure map,
_ITEM_TREASUREMAP_DESCRIPTION,Кто-то закопал сокровища и нарисовал карту,Someone has buried treasures and draw the map,
_ITEM_FIREFANG_NAME,Огненный клык,Fire fang,
_ITEM_FIREFANG_DESCRIPTION,Острые и полыхающие огнем клыки пригодятся для новых видов оружия.,Sharp fangs and a raging fire will be useful for new weapons.,
_ITEM_FIREBALSAM_NAME,Огненный бальзам,Fire balm,
_ITEM_FIREBALSAM_DESCRIPTION,Огненный бальзам может послужить ингредиентов для новых видов оружия.,Fire balm can serve as ingredients for new weapons.,
_ITEM_EXPLOSIVEGLAND_NAME,Взрывная железа,Explosive gland,
_ITEM_EXPLOSIVEGLAND_DESCRIPTION,Взрывная железа будет эффективна при создании новых оружий,Explosive iron is effective in creating new weapons,
_ITEM_GASTRICJUICEGRABBER_NAME,Желудочный сок граббера,Grabber's gland,
_ITEM_GASTRICJUICEGRABBER_DESCRIPTION,Будет отличным реагентом для огненных орудий,It will be an excellent reagent for fire guns,
_ITEM_MEDIEVALMECHANISM_NAME,Средневековый механизм,Medieval mechanism,
_ITEM_MEDIEVALMECHANISM_DESCRIPTION,"Странная вещь, но определенно полезная.",Hi-tech invention from the Middle Ages.,
_ITEM_SCRAP_NAME,Металлолом,Scrap,
_ITEM_SCRAP_DESCRIPTION,Идеальный материал для металлических полок,A pile of various metal objects.,
_ITEM_CAMOUFLAGETAPE_NAME,Камуфляжная лента,Camouflage tape,
_ITEM_CAMOUFLAGETAPE_DESCRIPTION,Если надо что-то замаскировать. Идеально сочетается с чертежами на некоторые виды голиафов.,If you have something to conceal. Ideal with drawings on certain types of Goliaths.,
_ITEM_DYNAMITE_NAME,Динамит,Dynamite,
_ITEM_DYNAMITE_DESCRIPTION,Пригодится для создания по настоящему взрывного голиафа,Useful for creating the present explosive goliath,
_ITEM_ACID_NAME,Кислота,Acid,
_ITEM_ACID_DESCRIPTION,Требуется аккуратность в использовании,Wear goggles!,
_ITEM_FROSTYSTONE_NAME,Морозный камень,Frosty stone,
_ITEM_FROSTYSTONE_DESCRIPTION,Из этого материала выйдет отличный каменный голиаф устойчивый к морозу.,From this material will be released a great stone Goliath resistant to frost.,
_ITEM_HEAVYDUTYGLUE_NAME,Сверхпрочный клей,Superglue,
_ITEM_HEAVYDUTYGLUE_DESCRIPTION,С помощью этого клея можно сделать голиафа покрепче. Жаль что он клеит только дерево.,With this glue can be made stronger Goliath. It is a pity that it is only wood glues.,
_ITEM_BONE_NAME,Кость,Bone,
_ITEM_BONE_DESCRIPTION,Обычная кость...ничего особенного,Normal bone is ... nothing special,
_ITEM_ADAMANTIN_NAME,Адамантин,Adamant,
_ITEM_ADAMANTIN_DESCRIPTION,Адамантин,Adamantine,
_ITEM_METEORITE_NAME,Метеорит,Meteorite,
_ITEM_METEORITE_DESCRIPTION,Его можно переплавить в слиток,It can be melted into an ingot,
_ITEM_FROSTSHARD_NAME,Морозный осколок,Frost shard,
_ITEM_FROSTSHARD_DESCRIPTION,Весьма удобен для создания оружия с морозным уроном.,A concentrated piece of winter.,
_ITEM_FROSTNECKLACE_NAME,Ожерелье мороза,Frost necklace,
_ITEM_FROSTNECKLACE_DESCRIPTION,Эти камушки с ожерелья будут неплохом ингридиентом для создания морозного оружия.,These stones with necklace are quite good ingredient for creating frosty weapons.,
_ITEM_CRYSTALSCOLD_NAME,Кристаллы холода,Cold crystal,
_ITEM_CRYSTALSCOLD_DESCRIPTION,Можно использовать с пользой.,Can be used with advantage.,
_ITEM_AUGER_NAME,Бур,Bore,
_ITEM_AUGER_DESCRIPTION,Ого - это же просто находка! Можно попробовать создать нового железного голиафа.,Wow - this is a godsend! You can try to create a new iron goliath.,
_ITEM_ENGINE_NAME,Двигатель,Engine,
_ITEM_ENGINE_DESCRIPTION,Двигатель - сердце машины.,The engine - the heart of the machine.,
_ITEM_CARTOON_NAME,Журнал комиксов,Cartoon journal,
_ITEM_CARTOON_DESCRIPTION,Нет описания,No description,
_ITEM_THEESSENCEOFDARKNESS_NAME,Эссенция тьмы,dark Essence,
_ITEM_THEESSENCEOFDARKNESS_DESCRIPTION,Нет описания,No description,
_ITEM_SUITCASEMAGICIAN_NAME,Чемодан фокусника,Magic suitcase,
_ITEM_SUITCASEMAGICIAN_DESCRIPTION,Нет описания,No description.,
_ITEM_GENERATORMAGICALENERGY_NAME,Генератор магической энергии,Generator magical energy,
_ITEM_GENERATORMAGICALENERGY_DESCRIPTION,Нет описания,No description,
_ITEM_MAGICIANHAT_NAME,Шляпа фокусника,Magician's hat,
_ITEM_MAGICIANHAT_DESCRIPTION,Нет описания,No description.,
_ITEM_ROCKETENGINE_NAME,Ракетный двигатель,Rocket engine,
_ITEM_ROCKETENGINE_DESCRIPTION,Отличный источник питания для моих голиафов. Пойдет на детали.,No description.,
_ITEM_Q093_GREAT_KAMENUKA_NAME,Великая каменюка,Holy Rock Thing,
_ITEM_Q093_GREAT_KAMENUKA__DESCRIPTION,Великая каменюка. Големы поклоняются этому холодному бездушному куску камня,Holy Rock Thing. Object of worshiping for every respectable golem.,
_ITEM_Q087_DIARY_SHEET_1_NAME,Лист 1,Torn page 1,
_ITEM_Q087_DIARY_SHEET_1_DESCRIPTION,Вырванный лист из дневника 1,Torn from journal page 1,
_ITEM_Q087_DIARY_SHEET_2_NAME,Лист 2,Torn page 2,
_ITEM_Q087_DIARY_SHEET_2_DESCRIPTION,Вырванный лист из дневника 2,Torn from journal page 2,
_ITEM_Q087_DIARY_SHEET_3_NAME,Лист 3,Torn page 3,
_ITEM_Q087_DIARY_SHEET_3_DESCRIPTION,Вырванный лист из дневника 3,Torn from journal page 3,
_ITEM_Q087_DIARY_SHEET_4_NAME,Лист 4,Torn page 4,
_ITEM_Q087_DIARY_SHEET_4_DESCRIPTION,Вырванный лист из дневника 4,Torn from journal page 4,
_ITEM_Q087_DIARY_SHEET_5_NAME,Лист 5,Torn page 5,
_ITEM_Q087_DIARY_SHEET_5_DESCRIPTION,Вырванный лист из дневника 5,Torn from journal page 5,
_ITEM_Q087_DIARY_OF_KLADOISKATEL_NAME,Дневник кладоискателя,Treasure hunter’s torn journal,
_ITEM_Q087_DIARY_OF_KLADOISKATEL_DESCRIPTION,Дневник кладоискателя. Часть страниц вырвана,Treasure hunter’s torn journal. Many pages are missing.,
_ITEM_Q087_KAMEN_VSEMOGUSHESTVA_NAME,Камень Всемогущества,Stone of Omnipotence,
_ITEM_Q087_KAMEN_VSEMOGUSHESTVA_DESCRIPTION,Великий камень всемогущества. Обладателя постепенно превращает в монстра. В прямом смысле слова,Stone of Omnipotence. Gradually turns its possesor into a monster. Literally.,
_ITEM_METEORITE_INGOT_NAME,Метеоритный слиток,Meteorite ingot,
_ITEM_METEORITE_INGOT_DESCRIPTION,"Метеоритный слиток. Холодный, прочный, космический.","Meteorite ingot. Cool, durable, space.",
_ITEM_FUEL_NAME_MANY,Топливо,Fuel,
_MONEY,Деньги,Money,
_ITEM_BERRY_NAME_MANY,Ягоды,Berries,
_ITEM_LEAF_NAME_MANY,Листья,Leaves,
_ITEM_MUCUS_NAME_MANY,Слизь,Mucus,
_ITEM_CLUTCH_NAME_MANY,Когти,Claws,
_ITEM_SKIN_NAME_MANY,Скины,Skins,
_ITEM_TRAPBERRY_NAME_MANY,Ловушка с ягодами,Traps with berries,
_ITEM_RESIN_NAME_MANY,Смола,Resin,
_ITEM_GUNPOWDER_NAME_MANY,Порох,Gunpowder,
_ITEM_TEETH_NAME_MANY,Клыки,Fangs,
_ITEM_SILICON_NAME_MANY,Кремний,Silicon,
_ITEM_JAM_NAME_MANY,Ягодный джем,Berry jam,
_ITEM_FRIED_MUSHROOM_NAME_MANY,Жареные грибы,Fried mushrooms,
_ITEM_RUBBER_NAME_MANY,Ластик,Rubber,
_ITEM_CHITIN_NAME_MANY,Хитин,Chitin,
_ITEM_ACID_NAME_MANY,Кислота,Acid,
_ITEM_IRONMECH_1_CROSSBOW_NAME,Арбалет,Crossbow,
_ITEM_IRONMECH_1_CROSSBOW_DESCRIPTION,Описание арбалета,Description,
