sep=,,
WOODMECH_1_SWORD_NAME,Деревянный меч,Wooden Sword [WOOD]
IRONMECH_1_MACE_EXCELLENT_NAME,Превосходная железная булава,Amazing Iron Mace [IRON]
IRONMECH_1_MACE_EXCELLENT_DESCRIPTION,"Сокрушительный аргумент в любых переговорах. /n{{damage}} урона.  Есть {{stun_chance}}% шанс оглушить противника обычной атакой, и 60% оглушения при нанесении урона сильной атакой./nШанс крита {{critical_chance}}%",A crushing argument in any negotiations./n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
IRONMECH_1_MACE_MYTHICAL_NAME,Мифическая железная булава,Mythical Iron Mace [IRON]
IRONMECH_1_MACE_MYTHICAL_DESCRIPTION,"Сокрушительный аргумент в любых переговорах. /n{{damage}} урона.  Есть {{stun_chance}}% шанс оглушить противника обычной атакой, и 60% оглушения при нанесении урона сильной атакой./nШанс крита {{critical_chance}}%",A crushing argument in any negotiations./n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
IRONMECH_1_MACE_MAGNIFICENT_NAME,Великолепня железная булава.,Fabulous Iron Mace [IRON]
IRONMECH_1_MACE_MAGNIFICENT_DESCRIPTION,"Сокрушительный аргумент в любых переговорах. /n{{damage}} урона.  Есть {{stun_chance}}% шанс оглушить противника обычной атакой, и 60% оглушения при нанесении урона сильной атакой./nШанс крита {{critical_chance}}%",A crushing argument in any negotiations./n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
IRONMECH_1_CROSSBOW_NAME,Гарпун,Harpoon [IRON]
IRONMECH_1_CROSSBOW_DESCRIPTION,Идеален для подводной рыбалки. /n{{damage}}  урона/nШанс крита {{critical_chance}}%,Perfect for spear fishing and creating holes in different creatures. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_CROSSBOW_UNCOMMON_NAME,Улучшенный Гарпун,Mighty Harpoon [IRON]
IRONMECH_1_CROSSBOW_UNCOMMON_DESCRIPTION,Идеален для подводной рыбалки. /n{{damage}}  урона/nШанс крита {{critical_chance}}%,Perfect for spear fishing and creating holes in different creatures. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_CROSSBOW_EXCELLENT_NAME,Превосходный Гарпун,Amazing Harpoon [IRON]
IRONMECH_1_CROSSBOW_EXCELLENT_DESCRIPTION,Идеален для подводной рыбалки. /n{{damage}}  урона/nШанс крита {{critical_chance}}%,Perfect for spear fishing and creating holes in different creatures. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_CROSSBOW_MYTHICAL_NAME,Мифический Гарпун,Mythical Harpoon [IRON]
IRONMECH_1_CROSSBOW_MYTHICAL_DESCRIPTION,Идеален для подводной рыбалки. /n{{damage}}  урона/nШанс крита {{critical_chance}}%,Perfect for spear fishing and creating holes in different creatures. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_CROSSBOW_MAGNIFICENT_NAME,Великолепный Гарпун,Fabulous Harpoon [IRON]
IRONMECH_1_CROSSBOW_MAGNIFICENT_DESCRIPTION,Идеален для подводной рыбалки. /n{{damage}}  урона/nШанс крита {{critical_chance}}%,Perfect for spear fishing and creating holes in different creatures. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_SAWAXESIMPLE_NAME,Пило-топор,Saw-Axe [IRON]
IRONMECH_1_SAWAXESIMPLE_DESCRIPTION,Мощное сочетание рубящих и пилящих качеств. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Chop and saw at the same time. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_SAWAXESIMPLE_UNCOMMON_NAME,Улучшенный пило-топор,Mighty Saw-Axe [IRON]
IRONMECH_1_SAWAXESIMPLE_UNCOMMON_DESCRIPTION,Мощное сочетание рубящих и пилящих качеств. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Chop and saw at the same time. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_SAWAXESIMPLE_EXCELLENT_NAME,Превосходный пило-топор,Amazing Saw-Axe [IRON]
IRONMECH_1_SAWAXESIMPLE_EXCELLENT_DESCRIPTION,Мощное сочетание рубящих и пилящих качеств. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Chop and saw at the same time. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_SAWAXESIMPLE_MYTHICAL_NAME,Мифический пила-топор,Mythical Saw-Axe [IRON]
IRONMECH_1_SAWAXESIMPLE_MYTHICAL_DESCRIPTION,Мощное сочетание рубящих и пилящих качеств. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Chop and saw at the same time. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_1_SAWAXESIMPLE_MAGNIFICENT_NAME,Великолепный пила-топор,Fabulous Saw-Axe [IRON]
IRONMECH_1_SAWAXESIMPLE_MAGNIFICENT_DESCRIPTION,Мощное сочетание рубящих и пилящих качеств. /n{{damage}} урона/nШанс крита {{critical_chance}}%,Chop and saw at the same time. /n{{damage}} DMG/nCrit {{critical_chance}}%
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_NAME,Электрический Пила-топор,Electric Saw-Axe [IRON]
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_DESCRIPTION,Электрическая Пила-топор железного меха /n{{damage}} урона электричеством. {{electro_effect_chance}}% шанс дополнительного урона./nШанс крита {{critical_chance}}%,As effective as it sounds. /n{{damage}} electric DMG. {{electro_effect_chance}}% chance of additional DMG./nCrit {{critical_chance}}%
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_UNCOMMON_NAME,Улучшенный электрический пила-топор,Mighty Electric Saw-Axe [IRON]
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_UNCOMMON_DESCRIPTION,Электрическая Пила-топор железного меха /n{{damage}} урона электричеством. {{electro_effect_chance}}% шанс дополнительного урона./nШанс крита {{critical_chance}}%,As effective as it sounds. /n{{damage}} electric DMG. {{electro_effect_chance}}% chance of additional DMG./nCrit {{critical_chance}}%
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_EXCELLENT_NAME,Превосходный электрический пила-топор,Amazing Electric Saw-Axe [IRON]
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_EXCELLENT_DESCRIPTION,Электрическая Пила-топор железного меха /n{{damage}} урона электричеством. {{electro_effect_chance}}% шанс дополнительного урона./nШанс крита {{critical_chance}}%,As effective as it sounds. /n{{damage}} electric DMG. {{electro_effect_chance}}% chance of additional DMG./nCrit {{critical_chance}}%
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_MYTHICAL_NAME,Мифический электрический пила-топор,Mythical Electric Saw-Axe [IRON]
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_MYTHICAL_DESCRIPTION,Электрическая Пила-топор железного меха /n{{damage}} урона электричеством. {{electro_effect_chance}}% шанс дополнительного урона./nШанс крита {{critical_chance}}%,As effective as it sounds. /n{{damage}} electric DMG. {{electro_effect_chance}}% chance of additional DMG./nCrit {{critical_chance}}%
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_MAGNIFICENT_NAME,Великолепный электрический пила-топор,Fabulous Electric Saw-Axe [IRON]
IRONMECH_2_SAWAXESIMPLE_ELECTRIC_MAGNIFICENT_DESCRIPTION,Электрическая Пила-топор железного меха /n{{damage}} урона электричеством. {{electro_effect_chance}}% шанс дополнительного урона./nШанс крита {{critical_chance}}%,As effective as it sounds. /n{{damage}} electric DMG. {{electro_effect_chance}}% chance of additional DMG./nCrit {{critical_chance}}%
IRONMECH_3_SAWAXEICE_NAME,Ледяной пила-топор,Frozen Saw-Axe [IRON]
IRONMECH_3_SAWAXEICE_DESCRIPTION,"Рубит, пилит и... замораживает! /n{{damage}} урона холодом. Замораживает противников с вероятностью {{frost_effect_chance}}%./nШанс крита {{critical_chance}}%",Almost as deadly as an ice pick. /n{{damage}} frost DMG. Freeze enemies with {{frost_effect_chance}}% chance./nCrit {{critical_chance}}%
IRONMECH_3_SAWAXEICE_UNCOMMON_NAME,Улучшенный ледяной пила-топор,Mighty Frozen Saw-Axe [IRON]
IRONMECH_3_SAWAXEICE_UNCOMMON_DESCRIPTION,"Рубит, пилит и... замораживает! /n{{damage}} урона холодом. Замораживает противников с вероятностью {{frost_effect_chance}}%./nШанс крита {{critical_chance}}%",Almost as deadly as an ice pick. /n{{damage}} frost DMG. Freeze enemies with {{frost_effect_chance}}% chance./nCrit {{critical_chance}}%
IRONMECH_3_SAWAXEICE_EXCELLENT_NAME,Превосходный ледяной пила-топор,Amazing Frozen Saw-Axe [IRON]
IRONMECH_3_SAWAXEICE_EXCELLENT_DESCRIPTION,"Рубит, пилит и... замораживает! /n{{damage}} урона холодом. Замораживает противников с вероятностью {{frost_effect_chance}}%./nШанс крита {{critical_chance}}%",Almost as deadly as an ice pick. /n{{damage}} frost DMG. Freeze enemies with {{frost_effect_chance}}% chance./nCrit {{critical_chance}}%
IRONMECH_3_SAWAXEICE_MYTHICAL_NAME,Мифический ледяной пила-топор,Mythical Frozen Saw-Axe [IRON]
IRONMECH_3_SAWAXEICE_MYTHICAL_DESCRIPTION,"Рубит, пилит и... замораживает! /n{{damage}} урона холодом. Замораживает противников с вероятностью {{frost_effect_chance}}%./nШанс крита {{critical_chance}}%",Almost as deadly as an ice pick. /n{{damage}} frost DMG. Freeze enemies with {{frost_effect_chance}}% chance./nCrit {{critical_chance}}%
IRONMECH_3_SAWAXEICE_MAGNIFICENT_NAME,Великолепный ледяной пила-топор,Fabulous Frozen Saw-Axe [IRON]
IRONMECH_3_SAWAXEICE_MAGNIFICENT_DESCRIPTION,"Рубит, пилит и... замораживает! /n{{damage}} урона холодом. Замораживает противников с вероятностью {{frost_effect_chance}}%./nШанс крита {{critical_chance}}%",Almost as deadly as an ice pick. /n{{damage}} frost DMG. Freeze enemies with {{frost_effect_chance}}% chance./nCrit {{critical_chance}}%
IRONMECH_5_SAWAXEFIRE_NAME,Огненная пила-топор,Fiery Saw-Axe [IRON]
IRONMECH_5_SAWAXEFIRE_DESCRIPTION,{{damage}} огненного урона. Поджигает врагов с шансом {{burning_chance}}%/nШанс крита {{critical_chance}}%,Prepare a well-done steak in the heat of battle! {{burning_chance}}% chance to ignite./nCrit {{critical_chance}}%
IRONMECH_5_SAWAXEFIRE_UNCOMMON_NAME,Улучшенная огненная пила-топор,Mighty Fiery Saw-Axe [IRON]
IRONMECH_5_SAWAXEFIRE_UNCOMMON_DESCRIPTION,{{damage}} огненного урона. Поджигает врагов с шансом {{burning_chance}}%/nШанс крита {{critical_chance}}%,Prepare a well-done steak in the heat of battle! {{burning_chance}}% chance to ignite./nCrit {{critical_chance}}%
IRONMECH_5_SAWAXEFIRE_EXCELLENT_NAME,Превосходная огненная пила-топор,Amazing Fiery Saw-Axe [IRON]
IRONMECH_5_SAWAXEFIRE_EXCELLENT_DESCRIPTION,{{damage}} огненного урона. Поджигает врагов с шансом {{burning_chance}}%/nШанс крита {{critical_chance}}%,Prepare a well-done steak in the heat of battle! {{burning_chance}}% chance to ignite./nCrit {{critical_chance}}%
IRONMECH_5_SAWAXEFIRE_MYTHICAL_NAME,Мифическая огненная пила-топор,Mythical Fiery Saw-Axe [IRON]
IRONMECH_5_SAWAXEFIRE_MYTHICAL_DESCRIPTION,{{damage}} огненного урона. Поджигает врагов с шансом {{burning_chance}}%/nШанс крита {{critical_chance}}%,Prepare a well-done steak in the heat of battle! {{burning_chance}}% chance to ignite./nCrit {{critical_chance}}%
IRONMECH_5_SAWAXEFIRE_MAGNIFICENT_NAME,Великолепная огненная пила-топор,Fabulous Fiery Saw-Axe [IRON]
IRONMECH_5_SAWAXEFIRE_MAGNIFICENT_DESCRIPTION,{{damage}} огненного урона. Поджигает врагов с шансом {{burning_chance}}%/nШанс крита {{critical_chance}}%,Prepare a well-done steak in the heat of battle! {{burning_chance}}% chance to ignite./nCrit {{critical_chance}}%
IRONMECH_1_MOLOT_NAME,Поршневой молот,Power Sledge [IRON]
IRONMECH_1_MOLOT_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника. Сильная атака 60% оглушает врага./nШанс крита {{critical_chance}}%,Gives you ability to flatten everything. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
IRONMECH_1_MOLOT_UNCOMMON_NAME,Улучшенный поршневой молот,Mighty Power Sledge [IRON]
IRONMECH_1_MOLOT_UNCOMMON_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника. Сильная атака 60% оглушает врага./nШанс крита {{critical_chance}}%,Gives you ability to flatten everything. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
IRONMECH_1_MOLOT_EXCELLENT_NAME,Превосходный поршневой молот,Amazing Power Sledge [IRON]
IRONMECH_1_MOLOT_EXCELLENT_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника. Сильная атака 60% оглушает врага./nШанс крита {{critical_chance}}%,Gives you ability to flatten everything. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
IRONMECH_1_MOLOT_MYTHICAL_NAME,Мифический поршневой молот,Mythical Power Sledge [IRON]
IRONMECH_1_MOLOT_MYTHICAL_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника. Сильная атака 60% оглушает врага./nШанс крита {{critical_chance}}%,Gives you ability to flatten everything. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
IRONMECH_1_MOLOT_MAGNIFICENT_NAME,Великолепный поршневой молот,Fabulous Power Sledge [IRON]
IRONMECH_1_MOLOT_MAGNIFICENT_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника. Сильная атака 60% оглушает врага./nШанс крита {{critical_chance}}%,Gives you ability to flatten everything. /n{{damage}} DMG. {{stun_chance}}% stun chance. Strong attack have 60% stun chance./nCrit {{critical_chance}}%
WOODMECH_4_SWORD_REINFORCED_NAME,Усовершенствованный деревянный меч,Усовершенствованный деревянный меч
WOODMECH_4_SWORD_REINFORCED_DESCRIPTION,"Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%"
WOODMECH_4_SWORD_REINFORCED_UNCOMMON_NAME,Улучшенный деревянный меч,Улучшенный деревянный меч
WOODMECH_4_SWORD_REINFORCED_UNCOMMON_DESCRIPTION,"Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%"
WOODMECH_4_SWORD_REINFORCED_EXCELLENT_NAME,Превосходный деревянный меч,Превосходный деревянный меч
WOODMECH_4_SWORD_REINFORCED_EXCELLENT_DESCRIPTION,"Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%"
WOODMECH_4_SWORD_REINFORCED_MYTHICAL_NAME,Мифический деревянный меч,Мифический деревянный меч
WOODMECH_4_SWORD_REINFORCED_MYTHICAL_DESCRIPTION,"Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%"
WOODMECH_4_SWORD_REINFORCED_MAGNIFICENT_NAME,Великолепный деревянный меч,Великолепный деревянный меч
WOODMECH_4_SWORD_REINFORCED_MAGNIFICENT_DESCRIPTION,"Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%","Стоило произвести ряд дополнений, как простой деревянный меч превратился в весьма грозное оружие. /n{{damage}} урона/nШанс крита {{critical_chance}}%"
WOODMECH_5_SWORD_ACID_NAME,Кислотный деревянный меч,Кислотный деревянный меч
WOODMECH_5_SWORD_ACID_DESCRIPTION,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%
WOODMECH_5_SWORD_ACID_UNCOMMON_NAME,Улучшенный кислотный деревянный меч,Улучшенный кислотный деревянный меч
WOODMECH_5_SWORD_ACID_UNCOMMON_DESCRIPTION,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%
WOODMECH_5_SWORD_ACID_EXCELLENT_NAME,Превосходный кислотный деревянный меч,Превосходный кислотный деревянный меч
WOODMECH_5_SWORD_ACID_EXCELLENT_DESCRIPTION,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%
WOODMECH_5_SWORD_ACID_MYTHICAL_NAME,Мифический кислотный деревянный меч,Мифический кислотный деревянный меч
WOODMECH_5_SWORD_ACID_MYTHICAL_DESCRIPTION,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%
WOODMECH_5_SWORD_ACID_MAGNIFICENT_NAME,Великолепный кислотный деревянный меч,Великолепный кислотный деревянный меч
WOODMECH_5_SWORD_ACID_MAGNIFICENT_DESCRIPTION,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%,{{damage}} кислотного урона c {{acid_effect_chance}}% шансом отравить противника./nШанс крита {{critical_chance}}%
WOODMECH_3_CLUB_FIRE_NAME,Огненная дубина,Огненная дубина
WOODMECH_3_CLUB_FIRE_DESCRIPTION,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%
WOODMECH_3_CLUB_FIRE_UNCOMMON_NAME,Улучшенная огненная дубина,Улучшенная огненная дубина
WOODMECH_3_CLUB_FIRE_UNCOMMON_DESCRIPTION,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%
WOODMECH_3_CLUB_FIRE_EXCELLENT_NAME,Превосходная огненная дубина,Превосходная огненная дубина
WOODMECH_3_CLUB_FIRE_EXCELLENT_DESCRIPTION,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%
WOODMECH_3_CLUB_FIRE_MYTHICAL_NAME,Мифическая огненная дубина,Мифическая огненная дубина
WOODMECH_3_CLUB_FIRE_MYTHICAL_DESCRIPTION,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%
WOODMECH_3_CLUB_FIRE_MAGNIFICENT_NAME,Великолепная огненная дубина,Великолепная огненная дубина
WOODMECH_3_CLUB_FIRE_MAGNIFICENT_DESCRIPTION,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%,Есть {{stun_chance}}% шанс оглушить противника./nШанс поджечь противника {{burning_chance}}%. /nНаносит {{damage}} огненного урона./nШанс крита {{critical_chance}}%
WOODMECH_4_CLUB_REINFORCED_NAME,Усиленная дубина,Усиленная дубина
WOODMECH_4_CLUB_REINFORCED_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%
WOODMECH_4_CLUB_REINFORCED_UNCOMMON_NAME,Улучшенная усиленная дубина,Улучшенная усиленная дубина
WOODMECH_4_CLUB_REINFORCED_UNCOMMON_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%
WOODMECH_4_CLUB_REINFORCED_EXCELLENT_NAME,Превосходная усиленная дубина,Превосходная усиленная дубина
WOODMECH_4_CLUB_REINFORCED_EXCELLENT_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%
WOODMECH_4_CLUB_REINFORCED_MYTHICAL_NAME,Мифическая усиленная дубина,Мифическая усиленная дубина
WOODMECH_4_CLUB_REINFORCED_MYTHICAL_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%
WOODMECH_4_CLUB_REINFORCED_MAGNIFICENT_NAME,Великолепная усиленная дубина,Великолепная усиленная дубина
WOODMECH_4_CLUB_REINFORCED_MAGNIFICENT_DESCRIPTION,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%,{{damage}} урона. Есть {{stun_chance}}% шанс оглушить противника./nШанс крита {{critical_chance}}%
WOODMECH_5_CLUB_ELECTRIC_NAME,Электрическая дубина,Электрическая дубина
WOODMECH_5_CLUB_ELECTRIC_DESCRIPTION,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%
WOODMECH_5_CLUB_ELECTRIC_UNCOMMON_NAME,Улучшенная электрическая дубина,Улучшенная электрическая дубина
WOODMECH_5_CLUB_ELECTRIC_UNCOMMON_DESCRIPTION,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%
WOODMECH_5_CLUB_ELECTRIC_EXCELLENT_NAME,Превосходная электрическая дубина,Превосходная электрическая дубина
WOODMECH_5_CLUB_ELECTRIC_EXCELLENT_DESCRIPTION,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%
WOODMECH_5_CLUB_ELECTRIC_MYTHICAL_NAME,Мифическая электрическая дубина,Мифическая электрическая дубина
WOODMECH_5_CLUB_ELECTRIC_MYTHICAL_DESCRIPTION,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%
WOODMECH_5_CLUB_ELECTRIC_MAGNIFICENT_NAME,Великолепная электрическая дубина,Великолепная электрическая дубина
WOODMECH_5_CLUB_ELECTRIC_MAGNIFICENT_DESCRIPTION,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%,Наносит {{damage}} электрического урона./n Есть {{stun_chance}}% шанс оглушить противника./nШанс нанести длительный электрический урон {{electro_effect_chance}}%. /nШанс крита {{critical_chance}}%
WOODMECH_2_CATAPULT_FIRE_NAME,Огненная катапульта,Огненная катапульта
WOODMECH_2_CATAPULT_FIRE_DESCRIPTION,{{damage}} огненого урона/nШанс крита {{critical_chance}}%,{{damage}} огненого урона/nШанс крита {{critical_chance}}%
WOODMECH_2_CATAPULT_FIRE_EXCELLENT_NAME,Превосходная огненная катапульта,Превосходная огненная катапульта
WOODMECH_2_CATAPULT_FIRE_EXCELLENT_DESCRIPTION,{{damage}} огненого урона/nШанс крита {{critical_chance}}%,{{damage}} огненого урона/nШанс крита {{critical_chance}}%
WOODMECH_2_CATAPULT_FIRE_MYTHICAL_NAME,Мифическая огненная катапульта,Мифическая огненная катапульта
WOODMECH_2_CATAPULT_FIRE_MYTHICAL_DESCRIPTION,{{damage}} огненого урона/nШанс крита {{critical_chance}}%,{{damage}} огненого урона/nШанс крита {{critical_chance}}%
WOODMECH_2_CATAPULT_FIRE_MAGNIFICENT_NAME,Великолепная огненная катапульта,Великолепная огненная катапульта
WOODMECH_2_CATAPULT_FIRE_MAGNIFICENT_DESCRIPTION,{{damage}} огненого урона/nШанс крита {{critical_chance}}%,{{damage}} огненого урона/nШанс крита {{critical_chance}}%
WOODMECH_3_CATAPULT_COLD_NAME,Морозная катапульта,Морозная катапульта
WOODMECH_3_CATAPULT_COLD_DESCRIPTION,{{damage}} урона холодом/nШанс крита {{critical_chance}}%,{{damage}} урона холодом/nШанс крита {{critical_chance}}%
WOODMECH_3_CATAPULT_COLD_UNCOMMON_NAME,Улучшенная морозная катапульта,Улучшенная морозная катапульта
WOODMECH_3_CATAPULT_COLD_UNCOMMON_DESCRIPTION,{{damage}} урона холодом/nШанс крита {{critical_chance}}%,{{damage}} урона холодом/nШанс крита {{critical_chance}}%
WOODMECH_3_CATAPULT_COLD_EXCELLENT_NAME,Превосходная морозная катапульта,Превосходная морозная катапульта
WOODMECH_3_CATAPULT_COLD_EXCELLENT_DESCRIPTION,{{damage}} урона холодом/nШанс крита {{critical_chance}}%,{{damage}} урона холодом/nШанс крита {{critical_chance}}%
WOODMECH_3_CATAPULT_COLD_MYTHICAL_NAME,Мифическая морозная катапульта,Мифическая морозная катапульта
WOODMECH_3_CATAPULT_COLD_MYTHICAL_DESCRIPTION,{{damage}} урона холодом/nШанс крита {{critical_chance}}%,{{damage}} урона холодом/nШанс крита {{critical_chance}}%
