sep=,,
trader_no_reputation_fox_node0,"У тебя недостаточно репутации, чтобы торговаться с лисами!",Your reputation is not high enough to trade with the Forest Brotherhood!
IC_002_guard_node2,"""Home?"" Ah, yes, the world your shard chipped off of, far away, long ago. Yes, yes. This idea has passed into legend for my people. Most are happy enough where they are, so they consider this to be just a story. But I know better. I know a way to this ""home"" you speak of. In happier times I would help you freely, Stone Pants. But these are not happy times for the Foxes.","""Home?"" Ah, yes, the world your shard chipped off of, far away, long ago. Yes, yes. This idea has passed into legend for my people. Most are happy enough where they are, so they consider this to be just a story. But I know better. I know a way to this ""home"" you speak of. In happier times I would help you freely, Stone Pants. But these are not happy times for the Foxes."
IC_002_guard_node3,That is not important to us. The Forest Brotherhood has no need for victory or riches. We Foxes just wish to live in peace.,That is not important to us. The Forest Brotherhood has no need for victory or riches. We Foxes just wish to live in peace.
IC_002_guard_node4,"The Rats that live in the forest with us SHOULD be able to coexist in peace. But they are greedy. They steal from us, they attack us. Stone Pants, they know nothing of cooperation! Even the Trolls will not attack us for no reason.","The Rats that live in the forest with us SHOULD be able to coexist in peace. But they are greedy. They steal from us, they attack us. Stone Pants, they know nothing of cooperation! Even the Trolls will not attack us for no reason."
IC_002_guard_node5,"Even now the Rats threaten us with a terrible secret weapon. I have a plan, but it requires an outsider. If you would help us, I can certainly help you find this ""home"" you speak of.","Even now the Rats threaten us with a terrible secret weapon. I have a plan, but it requires an outsider. If you would help us, I can certainly help you find this ""home"" you speak of."
IC_002_guard_node6,I had a good feeling about you. Perhaps it was your excellent and practical clothing choices. Listen closely and I will tell you my plan.,I had a good feeling about you. Perhaps it was your excellent and practical clothing choices. Listen closely and I will tell you my plan.
IC_002_guard_transition0_1,"Luck had nothing to do with it, sir. I've been tracking you for quite some time.","Luck had nothing to do with it, sir. I've been tracking you for quite some time."
IC_002_guard_transition1_1,"Uh, well, my name is actually... Never mind, Stone Pants is fine. Okay, so... I'm not from this world, and a friend told me that you might know a way to get home.","Uh, well, my name is actually... Never mind, Stone Pants is fine. Okay, so... I'm not from this world, and a friend told me that you might know a way to get home."
IC_002_guard_transition2_1,"I know, you need treasure.","I know, you need treasure."
IC_002_guard_transition2_2,"I know, you are at war with the Trolls.","I know, you are at war with the Trolls."
IC_002_guard_transition2_3,"Right, you and the Trolls have a common enemy.","Right, you and the Trolls have a common enemy."
IC_002_guard_transition2_4,Why not?,Why not?
IC_002_guard_transition3_1,[continue],[continue]
IC_002_guard_transition4_1,[continue],[continue]
IC_002_guard_transition5_1,"Excellent! I, Stone Pants, am your man!","Excellent! I, Stone Pants, am your man!"
IC_002_guard_transition5_2,"Well.. If that's what it's going to take, then I guess so.","Well.. If that's what it's going to take, then I guess so."
IC_002_guard_transition5_3,"Side quests, shmide quests. I'm out of here.","Side quests, shmide quests. I'm out of here."
085_start_node0,"Psst! Get out of here, whoever you are! They're going to be back in just a second!","Psst! Get out of here, whoever you are! They're going to be back in just a second!"
085_start_node1,"I'm LUNCH, is what I am. Now get out of here unless you want to be dessert!","I'm LUNCH, is what I am. Now get out of here unless you want to be dessert!"
085_start_node2,"Our expedition was meant to contact with the Trolls communicate with them. Some of us believe that they are intelligent and reasonable creatures, and that the Foxes and Trolls could form an alliance.","Our expedition was meant to contact with the Trolls communicate with them. Some of us believe that they are intelligent and reasonable creatures, and that the Foxes and Trolls could form an alliance."
085_start_node3,Too late! They're coming back!! Get out of here! I can talk to them!,Too late! They're coming back!! Get out of here! I can talk to them!
085_start_transition0_1,How did you get in there?,How did you get in there?
085_start_transition0_2,Who are you? Are you a member of the Fox Brotherhood?,Who are you? Are you a member of the Fox Brotherhood?
085_start_transition1_1,What happened?,What happened?
085_start_transition1_2,Where are the others?,Where are the others?
085_start_transition2_1,"How's that working out so far, Mr. Lunch?","How's that working out so far, Mr. Lunch?"
085_start_transition2_2,Give me a second and I'll get you out of there. *start picking lock*,Give me a second and I'll get you out of there. *start picking lock*
085_start_transition3_1,"Maybe I can talk to them. I don't speak Troll, but maybe I can take a guess...?","Maybe I can talk to them. I don't speak Troll, but maybe I can take a guess...?"
085_start_transition3_2,"Eh, I don't think that's worked very well for you so far, buddy. *crack knuckles and attack Trolls*","Eh, I don't think that's worked very well for you so far, buddy. *crack knuckles and attack Trolls*"
085_trolls_guards_node0,Goy lod nub dok,Goy lod nub dok
085_trolls_guards_transition0_1,...lod dok?,...lod dok?
085_trolls_guards_transition0_2,Mmmm,Mmmm
085_finish_node0,"Sigh...Thanks, I guess.","Sigh...Thanks, I guess."
085_finish_node1,"I'm Frendlis the Kind, chief diplomat. I just thought I could talk with these trolls and resolve things without violence. And without me being lunch. But their language is just so hard to learn. I need more time, or some help, and then I think the Foxes could have a great ally in the Troll Tribe.","I'm Frendlis the Kind, chief diplomat. I just thought I could talk with these trolls and resolve things without violence. And without me being lunch. But their language is just so hard to learn. I need more time, or some help, and then I think the Foxes could have a great ally in the Troll Tribe."
085_finish_node2,"Yeah, the expedition headed that way, further into the waterless lands. I'll stay here and try to make peace with the Trolls. Not easy after you killed them all.","Yeah, the expedition headed that way, further into the waterless lands. I'll stay here and try to make peace with the Trolls. Not easy after you killed them all."
085_finish_node3,"REALLY?! I had you figured as someone who only thought with his fists, but maybe I was wrong! I'm compiling a dictionary of Troll words. If we work together and get this thing filled out, we'll be able to communicate with them. A peaceful alliance with the trolls would be worth more than any treasure we could find.","REALLY?! I had you figured as someone who only thought with his fists, but maybe I was wrong! I'm compiling a dictionary of Troll words. If we work together and get this thing filled out, we'll be able to communicate with them. A peaceful alliance with the trolls would be worth more than any treasure we could find."
085_finish_node4,"I'm so glad! Here you go. (hands you the Troll dictionary) Any time you encounter a Troll, please try talking to them before you have to fight and the dictionary will automatically log any new words. When you're done, bring it back to me here. Now, if you want to find the Expedition, they went that way, into the waterless lands. Good luck!","I'm so glad! Here you go. (hands you the Troll dictionary) Any time you encounter a Troll, please try talking to them before you have to fight and the dictionary will automatically log any new words. When you're done, bring it back to me here. Now, if you want to find the Expedition, they went that way, into the waterless lands. Good luck!"
085_finish_transition0_1,"You GUESS?? What, should I just have let them eat you?","You GUESS?? What, should I just have let them eat you?"
085_finish_transition0_2,"Well, that's gratitude for you. So, are you the leader of this Expedition?","Well, that's gratitude for you. So, are you the leader of this Expedition?"
085_finish_transition1_1,"Huh. Well, good luck with all that. Listen, I have to find your leader. Do you know where the rest of the expedition went?","Huh. Well, good luck with all that. Listen, I have to find your leader. Do you know where the rest of the expedition went?"
085_finish_transition1_2,Is there any way I can help you with figuring out the Troll language?,Is there any way I can help you with figuring out the Troll language?
085_finish_transition2_1,"Well, you're welcome.*continue looking for expedition*","Well, you're welcome.*continue looking for expedition*"
085_finish_transition3_1,"Sure, I'd be glad to. Sounds kind of interesting. Sorry about killing all those Trolls.","Sure, I'd be glad to. Sounds kind of interesting. Sorry about killing all those Trolls."
085_finish_transition3_2,"Actually, that sounds pointless and like a lot of work. I gotta find that expedition. Are you going to help me or not?","Actually, that sounds pointless and like a lot of work. I gotta find that expedition. Are you going to help me or not?"
085_finish_transition4_1,"Thanks, Frendlis, See you soon!","Thanks, Frendlis, See you soon!"
104_start_node0,Мы создания. Ты хочешь сотрудничать?,We create. Do you want to cooperate?
104_start_node1,Тогда помоги нам запустить в космос три зонда,Then help us launch into space three probes
104_start_transition0_1,"Да, хочу",Yes I want to
104_start_transition1_1,"Я согласен, иду запускать","I agree, I go run"
104_finish_node0,Успешно запустил зонды?,Successfully launched the probe?
104_finish_node1,Мы рады этому. Ты получи награду за выполнение,We are pleased with this. You get a reward for completing
104_finish_transition0_1,Да,Yes
104_finish_transition1_1,Спасибо,Thank you
105_start_node0,Я ученый-инженер. Изучаю силу кристаллов. Добудь адамантий в подземных джунглях,I am a scientist and engineer. I am learning the power of crystals. Obtain the adamantium in the underground jungle
105_start_node1,Получишь награду,received the award
105_start_transition0_1,Ок,OK
105_start_transition1_1,Иду за адамантием,I am going for adamantium
105_finish_node0,"Достал адамантий? Давай мне 1 образец, остальное тебе самому скоро пригодится","He took the adamantium? Give me a sample of 1, else you yourself will soon come in handy"
105_finish_node1,"Отлично, сейчас я проведу исследования... Результаты впечатляют. Держи рецепт кристаллического-голиафа, пригодится","Well, today I will study ... The results are impressive. Keep the recipe crystalline Goliath, useful"
105_finish_transition0_1,"Да, держи","Yes, keep"
105_finish_transition1_1,Спасибо,Thank you
106_start_node0,С зондами надо подождать. Иди помоги пока созданию-инженеру,With the probes have to wait. Come help create long-engineer
106_start_node1,Он изучает силу кристаллов. Потом вернешься сюда,He studies the power of crystals. Then come back here
106_start_transition0_1,Ок,OK
106_start_transition1_1,"Понятно, иду","It is clear, I go"
107_start_node0,Создай кристаллического голиафа и уничтожь находящегося поблизости электро-монстра. Никакое другое оружие его не берет,Create crystalline Goliath and destroy a nearby electro-monster. No other weapons it does not take
107_start_node1,"Да, именно",Yes exactly
107_start_transition0_1,Только электричество способно победить электро-монстра?,Only electricity is able to defeat the electro-monster?
107_start_transition1_1,Выдвигаюсь,advance
107_finish_node0,Убил электро-монстра?,Killed electro-monster?
107_finish_node1,"Получай награду, ты хорош!","Receive awards, you're good!"
107_finish_transition0_1,Да,Yes
107_finish_transition1_1,"Да, спасибо, я знаю. Все так говорят","Yes, thank you, I know. Everyone says like that"
108_start_node0,Тебя искал лидер. Говорил про что-то связанное с зондами,You searched for a leader. I am talking about something to do with the probes
108_start_node1,Иди да сам узнай у него что к чему,Come let himself ask him what's what
108_start_transition0_1,Видимо вернулись зонды,Apparently returned probes
108_start_transition1_1,"Ок, пойду к нему","Ok, I'll go to him"
109_start_node0,"Зонды прилетели, но что-то пошло не так и они  разбросаны по разным осколкам","The probes have arrived, but something went wrong and they are scattered in different fragments"
109_start_node1,Тебе надо пойти и достать их. Все три,You should go and get them. All three
109_start_transition0_1,Ясно,Clear
109_start_transition1_1,"Ок, пойду достану три зонда","Ok, I'll go fetch three probes"
109_finish_node0,"Вот мы и на собрании. Тут находятся лисы, демоны, роботы-создания","Here we are at the meeting. There are foxes, demons, robots create"
109_finish_node1,Мы совершенно не можем договориться!,We absolutely can not agree!
109_finish_transition0_1,Да,Yes
109_finish_transition1_1,"Да, это факт!","Yes, it's a fact!"
110_start_node0,"Короля придавило, теперь ты король","King crushed, and now you are king"
110_start_node1,Давай выполни подвиги! Первый - убей дино,Let's accomplish the feat! The first - kill the dino
110_start_transition0_1,Я? Ну неет,I? Well neet
110_start_transition1_1,Окей,Okay
110_ask_about_second_feat_node0,Молодец!,Well done!
110_ask_about_second_feat_node1,Разберись с пропажей урожая!,Deal with the disappearance of the crop!
110_ask_about_second_feat_transition0_1,Какой второй подвиг?,What a second feat?
110_ask_about_second_feat_transition1_1,Окей,Okay
110_king_valor_and_third_feat_node0,А вот и ты,And here you are
110_king_valor_and_third_feat_node1,Круто. Но есть еще третий подвиг - провести церемонию бракосочетания,Cool. But there is a third feat - to hold the ceremony
110_king_valor_and_third_feat_transition0_1,Рассказываю вам о доблести короля,I tell you about the prowess of the King
110_king_valor_and_third_feat_transition1_1,"Окей, давайте проведем","Okay, let's"
110_finish_node0,"Свадебный разговор, где надо просто выбирать варианты ответов",Wedding conversation where you simply choose the answers
110_finish_node1,...,...
110_finish_node2,"Как оригинально, ты КОРОЛЬ РЕЧЕЙ. Возьми в награду данные из зонда","How original, you are the king's speeches. Take a reward data from the probe"
110_finish_transition0_1,"Живите хорошо, молодые пигмеи","Live a good, young Pygmies"
110_finish_transition1_1,Море удачи вам и дачи у моря,Sea of ​​good luck and villas by the sea
110_finish_transition2_1,"Да, я такой. Спасибо и пока","Yes, I am like this. Thank you and until"
111_start_node0,Мы команда. Называемся Злобные Кусаки. Чего хочешь?,We are a team. We called Angry Kusaka. What do you want?
111_start_node1,"Нет, теперь это наше. Играем им","No, now it's ours. We play them"
111_start_node2,"Можешь купить его за.... 10000 монет! Ну или верни наши мячи, их сожрал один обжора","You can buy it for .... 10,000 coins! Or bring back our balls, they ate a glutton"
111_start_transition0_1,Надо забрать зонд,It is necessary to take the probe
111_start_transition1_1,Что же делать? Он мне нужен,What to do? I need it
111_start_transition2_1,Сейчас решим этот вопрос,Who will resolve this issue
111_finish_node0,"Достал мячи? Молодец, забирай свой хламешник","He has got balls? Well done, take your hlameshnik"
111_finish_node1,Пожалуйста,You are welcome
111_finish_transition0_1,Спасибо,Thank you
111_finish_transition1_1,До свидания!,Bye!
111_money_or_fight_node0,Ну что решил?,"Well, he decided?"
111_money_or_fight_transition0_1,Заберу его у вас силой,I take it from you by force
111_money_or_fight_transition0_2,"Забирай деньги, давай зонд!","Take the money, let's probe!"
111_money_or_fight_transition0_3,Надо еще подумать,We still think
111_money_or_fight_node1,Ну раз даешь деньги - забирай свой зонд!,"Well, if you give money - take away his probe!"
111_money_or_fight_transition1_1,Спасибо,Thank you
IC_002_guard_new_transition0_2,"You're a real piece of work. Where the heck is your leader, fancy man?","You're a real piece of work. Where the heck is your leader, fancy man?"
IC_002_guard_transition6_1,...,...
085_trolls_guards_node1,Grruunk! Klab Gork gu lok ba Dunkle Bort!,Grruunk! Klab Gork gu lok ba Dunkle Bort!
085_trolls_guards_node2,Gok? Zub koog Frob Goy gub Dunkle Yog?,Gok? Zub koog Frob Goy gub Dunkle Yog?
085_trolls_guards_node3,"Glah. Coog lod Nob Goy, go tob gee Chob Chob Binko Bort!","Glah. Coog lod Nob Goy, go tob gee Chob Chob Binko Bort!"
085_trolls_guards_node4,"Gorpy Tong Tong! Mo, gog loo Framgog. Frim dop zub Dunkle Bort gog Dunkle Yow.","Gorpy Tong Tong! Mo, gog loo Framgog. Frim dop zub Dunkle Bort gog Dunkle Yow."
085_trolls_guards_node5,[Who are You calling Little Fool?],[Who are You calling Little Fool?]
085_trolls_guards_node6,"Grunk Bunk! Flab, gok Dunkle Yog! *Trolls all attack*","Grunk Bunk! Flab, gok Dunkle Yog! *Trolls all attack*"
085_trolls_guards_node7,Gok?,Gok?
085_trolls_guards_node8,Gok?,Gok?
085_trolls_guards_transition1_1,Uh...Dunkle Bort.,Uh...Dunkle Bort.
085_trolls_guards_transition1_2,Umm...Klab Gork.,Umm...Klab Gork.
085_trolls_guards_transition1_3,"Yeah, Grunk!","Yeah, Grunk!"
085_trolls_guards_transition2_1,Hmm.. Frob Goy.,Hmm.. Frob Goy.
085_trolls_guards_transition2_2,Zub.,Zub.
085_trolls_guards_transition2_3,Gok?,Gok?
085_trolls_guards_transition3_1,Now we're talkin'! Nob Goy! Chob Chob Binko Bort!,Now we're talkin'! Nob Goy! Chob Chob Binko Bort!
085_trolls_guards_transition4_1,"Thanks, Troll King! I think I got the hang of this! Framgog forever!","Thanks, Troll King! I think I got the hang of this! Framgog forever!"
085_trolls_guards_transition5_1,...Zub?,...Zub?
085_trolls_guards_transition5_2,...Dunkle Bort?,...Dunkle Bort?
085_trolls_guards_transition5_3,*incoherent wail*,*incoherent wail*
085_trolls_guards_transition6_1,Whaa--? Uh... Flab! Uh... Dunkle Yog! Help!,Whaa--? Uh... Flab! Uh... Dunkle Yog! Help!
085_trolls_guards_transition7_1,Gok?,Gok?
085_trolls_guards_transition8_1,Grunk?,Grunk?
109_give_explorers_node0,Достал три зонда?,He took three probes?
109_give_explorers_node1,Отлично. А вот и твоя награда,Excellent. And here is your reward
109_give_explorers_transition0_1,"Да, вот они","Yes, here they are"
109_give_explorers_transition1_1,Супер,Super
112_start_node0,...,...
112_start_node1,"Просто они не знают про нашу истинную мощь, которая находится в далеких землях","They just do not know about our true power, which is located in distant lands"
112_start_node2,Не скажу. Это тайна.,I will not say. It's a secret.
112_start_transition0_1,"Плохо, что фракции не договорились",Too bad that the factions have not agreed
112_start_transition1_1,"Расскажи, где далекие земли, мне нужны ваши технологии","Tell me, where distant lands, I need your technology"
112_start_transition2_1,"Ну ладно, пойду погуляю","Well, I go for a walk"
112_dave_call_node0,Пш-пш. Это Дейв звонит. Как там у тебя успехи?,PN PN. It calls Dave. How are you getting on?
112_dave_call_node1,"Я все попробую устроить сам, ты главное дождись. А пока узнай секреты фракции Лис и Демонов","I'll try to arrange itself, you are the main rains. In the meantime, to learn the secret faction Fox and Demons"
112_dave_call_transition0_1,"Не могу достать информацию про место, где находятся технологии созданий",I can not get information about the place where the creatures technology
112_dave_call_transition1_1,"Окей, понял. Будет исполнено","Okay, understood. Will be done"
113_finish_node0,"Мы Кузнецы, а ты для нас столько сделал, что мы теперь друзья","We Blacksmiths, and you did so much for us that we are friends now"
113_finish_node1,"Да все просто, давай я тебе схемы скину по блютусу","Yes, everything is simple, you let me throw off the circuit via Bluetooth"
113_finish_node2,"Ладно, держи перфокарты *дает информацию*","Okay, hold punch card gives information * *"
113_finish_transition0_1,"Раз уж мы друзья, хочу узнать у вас, как вы телепорт строите","Since we are friends, I want to ask you, how do you build a teleporter"
113_finish_transition1_1,"У меня только ИК-порт и дырка для перфокарт, нет блютуса","I only infrared and hole punched cards, no bluetooth"
113_finish_transition2_1,"Все, информация у меня",All the information I have
086_start_node0,"The Rats claim to have a terrible weapon capable of wiping out the entire Forest Brotherhood in an instant, Stone Pants. It is like no weapon we've ever heard of! They call it... ""The Double Orbiter.""","The Rats claim to have a terrible weapon capable of wiping out the entire Forest Brotherhood in an instant, Stone Pants. It is like no weapon we've ever heard of! They call it... ""The Double Orbiter."""
086_start_node1,"No, we know nothing about it at all, except where it is kept: a locked black chest deep within the Rats' compound. My scouts can only make it to the outer fence, but someone who seems to be an ally to the Rats -- like you -- might be able to get inside and find out just what they are planning.","No, we know nothing about it at all, except where it is kept: a locked black chest deep within the Rats' compound. My scouts can only make it to the outer fence, but someone who seems to be an ally to the Rats -- like you -- might be able to get inside and find out just what they are planning."
086_start_node2,"The Foxes and the Rats are lifelong enemies, and we each know much about the other. This beautiful amulet I wear is one-of-a-kind and signifies that I am Leader of all Foxes. If you bring it to them and say that you have killed me in single combat, they will recognize it and may believe you.","The Foxes and the Rats are lifelong enemies, and we each know much about the other. This beautiful amulet I wear is one-of-a-kind and signifies that I am Leader of all Foxes. If you bring it to them and say that you have killed me in single combat, they will recognize it and may believe you."
086_start_node3,"You MUST, Stone Pants! You must act as if our lives depend on it, because they surely do! Think like the Rats think! Act like the Rats act! Steal! Lie! Cheat at cards! Insult everyone! They respect only the most scoundrel-like behavior. I know this goes against your code, but please, for our sake, pretend to be a terrible person!","You MUST, Stone Pants! You must act as if our lives depend on it, because they surely do! Think like the Rats think! Act like the Rats act! Steal! Lie! Cheat at cards! Insult everyone! They respect only the most scoundrel-like behavior. I know this goes against your code, but please, for our sake, pretend to be a terrible person!"
086_start_node4,"Er... all right. That doesn't make a lot of sense, but I guess you have your reasons.","Er... all right. That doesn't make a lot of sense, but I guess you have your reasons."
086_start_transition0_1,The Double Orbiter? What's it like? Has anyone ever seen it?,The Double Orbiter? What's it like? Has anyone ever seen it?
086_start_transition1_1,I see! Cloak and dagger type stuff. I like it. But I'm just another stranger to them. Why would they let me in?,I see! Cloak and dagger type stuff. I like it. But I'm just another stranger to them. Why would they let me in?
086_start_transition2_1,"Hm, I don't know. I'm not much of an actor. I'm just too darn honest, I guess.","Hm, I don't know. I'm not much of an actor. I'm just too darn honest, I guess."
086_start_transition3_1,"All right, I'll do it! Grr! Lie! Steal! Insult! Look out, Rats, here I come!","All right, I'll do it! Grr! Lie! Steal! Insult! Look out, Rats, here I come!"
086_start_transition3_2,"Forget it, Fox Boss. I can't lie. I'm just too good of a person to help you save your people, I guess.","Forget it, Fox Boss. I can't lie. I'm just too good of a person to help you save your people, I guess."
086_start_transition4_1,I do what I want! *fist pump*,I do what I want! *fist pump*
086_finish_node0,"Stone Pants! You've returned from your undercover assignment with those foul, dishonorable Rats! Could you do it? Could you pretend to be a soulless mercenary and win their trust?","Stone Pants! You've returned from your undercover assignment with those foul, dishonorable Rats! Could you do it? Could you pretend to be a soulless mercenary and win their trust?"
086_finish_node1,So: the weapon! Could you discover the design of the Double Orbiter so that our engineers can learn how to disarm it??,So: the weapon! Could you discover the design of the Double Orbiter so that our engineers can learn how to disarm it??
086_finish_node2,"What? Stone Pants, do you tell me true? Oh, I am a fool, such a fool! How can the Forest Brotherhood look to me as a leader if I cannot see through such a transparent ruse?","What? Stone Pants, do you tell me true? Oh, I am a fool, such a fool! How can the Forest Brotherhood look to me as a leader if I cannot see through such a transparent ruse?"
086_finish_node3,"Really! Okay, Stone Pants, please do this mission for us. We will give you what you ask for, just please destroy the Double Orbiter and bring peace to the Forest Brotherhood!","Really! Okay, Stone Pants, please do this mission for us. We will give you what you ask for, just please destroy the Double Orbiter and bring peace to the Forest Brotherhood!"
086_finish_node4,"Stone Pants, you are a great ally. You have the Forest Brotherhood's great admiration and my personal loyalty until the end of time.","Stone Pants, you are a great ally. You have the Forest Brotherhood's great admiration and my personal loyalty until the end of time."
086_finish_transition0_1,"Actually, yes, and I'm exhausted by it. Every single rat told me he was the supreme leader of the entire group. It'll be a great relief to work with honest folk from now on.","Actually, yes, and I'm exhausted by it. Every single rat told me he was the supreme leader of the entire group. It'll be a great relief to work with honest folk from now on."
086_finish_transition1_1,"Yes, as a matter of fact, it's quite a simple design. It doesn't exist. They have been using your fear to control you.","Yes, as a matter of fact, it's quite a simple design. It doesn't exist. They have been using your fear to control you."
086_finish_transition1_2,"Uh... yeees. It's very dangerous, but if you give me [x], I will sneak in and destroy it for you.","Uh... yeees. It's very dangerous, but if you give me [x], I will sneak in and destroy it for you."
086_finish_transition2_1,You care deeply about the well-being of all of your subjects. You are the leader they deserve. I'm proud to work with you.,You care deeply about the well-being of all of your subjects. You are the leader they deserve. I'm proud to work with you.
086_finish_transition3_1,"*laughs* Sorry, I was just kidding. There's no weapon. They played you for a sucker.","*laughs* Sorry, I was just kidding. There's no weapon. They played you for a sucker."
086_finish_transition3_2,"Well, thanks! I'll let you know when it's destroyed. Nice to deal with folks who are so honest (and stupid).","Well, thanks! I'll let you know when it's destroyed. Nice to deal with folks who are so honest (and stupid)."
086_finish_transition4_1,"Thanks! I humbly accept. I look forward to working with you, Fentus.","Thanks! I humbly accept. I look forward to working with you, Fentus."
072_start_node0,"Ah, you must be the human that Scree the Sentry said was going to help us.","Ah, you must be the human that Scree the Sentry said was going to help us."
072_start_node1,"Well, we've got a rat missing. Skrask the Unreliable. I never liked him. He's a liar and a weasel. That's worse than a rat. But he owes me four seeds and he borrowed my fur-comb, and I think he's found some treasure, so I want you to find him.","Well, we've got a rat missing. Skrask the Unreliable. I never liked him. He's a liar and a weasel. That's worse than a rat. But he owes me four seeds and he borrowed my fur-comb, and I think he's found some treasure, so I want you to find him."
072_start_node2,"Hmm. You seem extremely eager. That's sort of ...suspicious. Well, anyway...","Hmm. You seem extremely eager. That's sort of ...suspicious. Well, anyway..."
072_start_node3,"Are you going to ask that every time? You're proving yourself to the Rats. We're the most powerful group in the forest. With our help you'll be invincible. That's what's in it for you. Sheesh. Anyway, I like your attitude.","Are you going to ask that every time? You're proving yourself to the Rats. We're the most powerful group in the forest. With our help you'll be invincible. That's what's in it for you. Sheesh. Anyway, I like your attitude."
072_start_node4,"Lemme see your map. Here's where he was last seen. It's an old abandoned military base from long ago and far away. Maybe it was your people who designed it. If so, you guys have a lot of good stuff to steal. Find him, alive or dead, but DON'T forget to bring back his stuff.","Lemme see your map. Here's where he was last seen. It's an old abandoned military base from long ago and far away. Maybe it was your people who designed it. If so, you guys have a lot of good stuff to steal. Find him, alive or dead, but DON'T forget to bring back his stuff."
072_start_node5,"He said HE'S the leader? What a joke. He's just a sentry that likes to talk big. Truth is... Actually, I'M the leader. Yeah. I'm just hanging out here, selling junk in a junk shop to uh... keep my eye on the comings and goings of these other rats.","He said HE'S the leader? What a joke. He's just a sentry that likes to talk big. Truth is... Actually, I'M the leader. Yeah. I'm just hanging out here, selling junk in a junk shop to uh... keep my eye on the comings and goings of these other rats."
072_start_transition0_1,(grunt) Maybe I am. Whaddya got?,(grunt) Maybe I am. Whaddya got?
072_start_transition0_2,Scree said he was the leader.,Scree said he was the leader.
072_start_transition0_3,NOPE I CAN'T HANDLE THIS SORRY SEE YA!!,NOPE I CAN'T HANDLE THIS SORRY SEE YA!!
072_start_transition1_1,(narrow eyes) What's in it for me?,(narrow eyes) What's in it for me?
072_start_transition1_2,"Okey dokey, I'm on it! Where do I go?","Okey dokey, I'm on it! Where do I go?"
072_start_transition1_3,NEVER MIND I CAN'T DO IT BYE!,NEVER MIND I CAN'T DO IT BYE!
072_start_transition2_1,[continue],[continue]
072_start_transition3_1,[continue],[continue]
072_start_transition4_1,"(shrug, spit on ground) Eh, sure, why not?","(shrug, spit on ground) Eh, sure, why not?"
072_start_transition4_2,Okey doke!,Okey doke!
072_start_transition4_3,I CHANGED MY MIND THIS IS TOO STRESSFUL BYE!!,I CHANGED MY MIND THIS IS TOO STRESSFUL BYE!!
072_start_transition5_1,(shrug) Whatever you say.,(shrug) Whatever you say.
072_lost_stalker_node0,Unnngh... Who's out there? I'm so thirsty and I can't move. My...my arm is trapped.,Unnngh... Who's out there? I'm so thirsty and I can't move. My...my arm is trapped.
072_lost_stalker_node1,"Friends? Nah, that can't be right. Probably old Skubs the Junk Dealer. He's jealous of me and always wants to know where I am on account of uh... the fact that I'm the Supreme Leader of the Rats. I'm just out here because I can't trust any of my underlings to do anything right. Anyway...","Friends? Nah, that can't be right. Probably old Skubs the Junk Dealer. He's jealous of me and always wants to know where I am on account of uh... the fact that I'm the Supreme Leader of the Rats. I'm just out here because I can't trust any of my underlings to do anything right. Anyway..."
072_lost_stalker_node2,"I was exploring this ruin and found some great loot, but I think this place was built by humans, because it looks terrible and it's falling apart. No offense. Anyway, the roof fell on me and my arm's trapped.","I was exploring this ruin and found some great loot, but I think this place was built by humans, because it looks terrible and it's falling apart. No offense. Anyway, the roof fell on me and my arm's trapped."
072_lost_stalker_node3,"I think we could clear it off me if we used a Mortar Bomb. Do you have one? If not, I can give you the recipe, and I'm sure the stuff is around here somewhere -- if the stupid human's floors don't collapse and kill you. No offense.","I think we could clear it off me if we used a Mortar Bomb. Do you have one? If not, I can give you the recipe, and I'm sure the stuff is around here somewhere -- if the stupid human's floors don't collapse and kill you. No offense."
072_lost_stalker_transition0_1,Are you Skrask the Unreliable? I was sent to find you by one of your friends.,Are you Skrask the Unreliable? I was sent to find you by one of your friends.
072_lost_stalker_transition0_2,(look unsympathetically at trapped rat) Looks like you've had a lousy day. How'd you get into this mess?,(look unsympathetically at trapped rat) Looks like you've had a lousy day. How'd you get into this mess?
072_lost_stalker_transition1_1,[continue],[continue]
072_lost_stalker_transition2_1,[continue],[continue]
072_lost_stalker_transition3_1,(even more dismissive snort) Who wants to haul around a whole bunch of extra junk all the time? Fork over that recipe.,(even more dismissive snort) Who wants to haul around a whole bunch of extra junk all the time? Fork over that recipe.
072_lost_stalker_transition3_2,(even more dismissive snort) Who wants to haul around a whole bunch of extra junk all the time? Fork over that recipe.,(even more dismissive snort) Who wants to haul around a whole bunch of extra junk all the time? Fork over that recipe.
072_stone_dam_node0,"There is a massive pileup of stones inside this structure. Skrask the Unreliable has an arm trapped under it, but otherwise appears to be uninjured. There are several pockets where you could place some sort of explosive device without risking killing the rat.","There is a massive pileup of stones inside this structure. Skrask the Unreliable has an arm trapped under it, but otherwise appears to be uninjured. There are several pockets where you could place some sort of explosive device without risking killing the rat."
072_stone_dam_node1,"*after some time, and some bloody fingers, it dawns on you that there are too many stones.You need to get rid of the blockage some other way*","*after some time, and some bloody fingers, it dawns on you that there are too many stones.You need to get rid of the blockage some other way*"
072_stone_dam_transition0_1,*put the mine between the stones and blow the passage*,*put the mine between the stones and blow the passage*
072_stone_dam_transition0_2,*start clearing the blockage with your hands*,*start clearing the blockage with your hands*
072_stone_dam_transition0_3,*leave empty-handed*,*leave empty-handed*
